Order Date,furniture,office supplies,technology
2021-12-27/2022-01-02,5811.6226473496245,3712.548484075532,3531.859696584323
2022-01-03/2022-01-09,5993.546628565757,3715.552777260217,2865.460892648579
2022-01-10/2022-01-16,6078.799377877165,4149.73900395774,3665.990036348831
2022-01-17/2022-01-23,6340.541427988187,4634.934566909889,3623.6378637321695
2022-01-24/2022-01-30,6296.227217655961,4726.31329089986,3498.984373310353
2022-01-31/2022-02-06,6232.768871322168,4552.246708306711,3215.014241751246
2022-02-07/2022-02-13,6175.773477728433,4232.385157474334,3285.6095118218536
2022-02-14/2022-02-20,6155.891173654342,4240.932946815637,3303.088721062289
2022-02-21/2022-02-27,6167.890523477195,4192.920987259046,3294.7630637433917
2022-02-28/2022-03-06,6195.887056302938,4206.492693396043,3401.3502907540123
2022-03-07/2022-03-13,6209.725199431777,4297.603671446619,3381.8956615420975
2022-03-14/2022-03-20,6206.535430761245,4332.276474491921,3358.7900590053205
2022-03-21/2022-03-27,6198.042955793539,4358.962067019515,3344.242458278105
2022-03-28/2022-04-03,6191.565612455924,4321.401438029084,3336.5741034863195
2022-04-04/2022-04-10,6190.281573622365,4309.884125177545,3337.3253241704692
2022-04-11/2022-04-17,6192.875809286949,4298.725044761038,3344.302535944966
2022-04-18/2022-04-24,6195.8545633254935,4285.217312086467,3353.7672977506177
2022-04-25/2022-05-01,6196.928351317693,4296.082385458217,3352.0129762334677
2022-05-02/2022-05-08,6196.347860575412,4299.566774582817,3350.1277177271927
2022-05-09/2022-05-15,6195.2723879946425,4308.569078786084,3348.042320243219
2022-05-16/2022-05-22,6194.618746158381,4308.438016729344,3346.0883950967554
2022-05-23/2022-05-29,6194.627158334053,4306.417690183255,3346.5199349749964
2022-05-30/2022-06-05,6194.99332848281,4306.159087119338,3347.659762462394
2022-06-06/2022-06-12,6195.302954342744,4302.1154348513055,3348.533634637384
2022-06-13/2022-06-19,6195.377341753851,4302.632689296508,3348.5921430322387
2022-06-20/2022-06-26,6195.278807238509,4302.423877539231,3348.38337181626
2022-06-27/2022-07-03,6195.15203063536,4303.426411062056,3348.0081492991853
2022-07-04/2022-07-10,6195.093432918571,4304.35655747379,3347.7515289968155
2022-07-11/2022-07-17,6195.110577325483,4304.105030697291,3347.8135758511207
2022-07-18/2022-07-24,6195.156920284627,4304.535668872848,3347.9495224825473
2022-07-25/2022-07-31,6195.188088973053,4303.923908103122,3348.0613242207314
2022-08-01/2022-08-07,6195.190617054418,4303.805090260109,3348.09638888207
2022-08-08/2022-08-14,6195.176163585088,4303.716191179935,3348.064354029548
2022-08-15/2022-08-21,6195.162128658038,4303.646374658729,3348.009506092799
2022-08-22/2022-08-28,6195.157602859715,4303.871031408485,3347.9778773296193
2022-08-29/2022-09-04,6195.161173084318,4303.827974408043,3347.981824510357
2022-09-05/2022-09-11,6195.166710154885,4303.949036039067,3347.9986213586194
2022-09-12/2022-09-18,6195.169639434563,4303.917648675884,3348.0151873207124
2022-09-19/2022-09-25,6195.169239481371,4303.87416281023,3348.0213519206604
2022-09-26/2022-10-02,6195.167320083719,4303.877740028303,3348.0169362516467
2022-10-03/2022-10-09,6195.165854990041,4303.826655956992,3348.009721919407
2022-10-10/2022-10-16,6195.165602358122,4303.857526754565,3348.0053614539565
2022-10-17/2022-10-23,6195.166165934204,4303.849179481493,3348.005250888328
2022-10-24/2022-10-30,6195.166793772816,4303.863644894365,3348.0074894571962
2022-10-31/2022-11-06,6195.167041138744,4303.874581237325,3348.0098699050127
2022-11-07/2022-11-13,6195.166921306653,4303.86486998883,3348.0107906049657
2022-11-14/2022-11-20,6195.166683995023,4303.871557589934,3348.0102798947137
2022-11-21/2022-11-27,6195.166540651701,4303.860935105593,3348.0093358384047
2022-11-28/2022-12-04,6195.166542396364,4303.862632576069,3348.0086948294743
2022-12-05/2022-12-11,6195.16662066639,4303.862035471389,3348.0086187202037
2022-12-12/2022-12-18,6195.166688174686,4303.861155529943,3348.008915765991
2022-12-19/2022-12-25,6195.166705302125,4303.8650959004335,3348.0092441564625
2022-12-26/2023-01-01,6195.166684129031,4303.863282243973,3348.009383269772
