Order Date,Profit
2022-01-03/2022-01-09,1524.2867618684486
2022-01-10/2022-01-16,1063.223303545104
2022-01-17/2022-01-23,2268.7818755008075
2022-01-24/2022-01-30,1194.5700931745491
2022-01-31/2022-02-06,2397.7628277325125
2022-02-07/2022-02-13,1386.9047161643634
2022-02-14/2022-02-20,2396.618851384345
2022-02-21/2022-02-27,1109.13715297494
2022-02-28/2022-03-06,2580.879536190906
2022-03-07/2022-03-13,1161.317304015101
2022-03-14/2022-03-20,2024.8133173176816
2022-03-21/2022-03-27,952.392283216705
2022-03-28/2022-04-03,2452.6381457080915
2022-04-04/2022-04-10,1031.8707594759653
2022-04-11/2022-04-17,2202.067313711545
2022-04-18/2022-04-24,1387.0723000760026
2022-04-25/2022-05-01,2404.5242465325955
2022-05-02/2022-05-08,1192.2891122768965
2022-05-09/2022-05-15,2471.3638686543823
2022-05-16/2022-05-22,1162.9737996067029
2022-05-23/2022-05-29,2398.757330221619
2022-05-30/2022-06-05,1310.047653164138
2022-06-06/2022-06-12,2352.7045937907924
2022-06-13/2022-06-19,1141.9157228746376
2022-06-20/2022-06-26,2466.649450892862
2022-06-27/2022-07-03,1335.9158830516822
2022-07-04/2022-07-10,2378.473232014766
2022-07-11/2022-07-17,1242.5000586337624
2022-07-18/2022-07-24,2527.0907794013656
2022-07-25/2022-07-31,1376.2882185689555
2022-08-01/2022-08-07,2403.316298844376
2022-08-08/2022-08-14,1293.2163862578768
2022-08-15/2022-08-21,2551.9794333179593
2022-08-22/2022-08-28,1339.413935876696
2022-08-29/2022-09-04,2469.3422531850124
2022-09-05/2022-09-11,1360.6578377327078
2022-09-12/2022-09-18,2496.8586230134415
2022-09-19/2022-09-25,1414.8066248276864
2022-09-26/2022-10-02,2549.850622597982
2022-10-03/2022-10-09,1343.4723425347688
2022-10-10/2022-10-16,2541.9421537251087
2022-10-17/2022-10-23,1487.7483287275522
2022-10-24/2022-10-30,2545.7192136542362
2022-10-31/2022-11-06,1383.398729626073
2022-11-07/2022-11-13,2589.315847970038
2022-11-14/2022-11-20,1497.3654975584677
2022-11-21/2022-11-27,2577.230976925882
2022-11-28/2022-12-04,1436.2733010748143
2022-12-05/2022-12-11,2607.960927870411
2022-12-12/2022-12-18,1530.0967718515394
2022-12-19/2022-12-25,2610.5342491633087
2022-12-26/2023-01-01,1486.1851789255388
